Group,Shapes,Mean,SE
SP,Circle,15.3081349206349,1.18338596558906
SP,Lines,7.20449735449735,0.340819295719947
SP,Ellipses,13.5690972222222,0.781177596481178
SP,Spiral,16.9833900226757,1.57086303744343
SP,Blobs,15.7324735449735,1.6719727569057
SP,Squiggles,9.35555555555556,0.255011498167301
SP,Letters,14.9045990403682,0.559206167748268
NT,Circle,14.41837000962,0.430087468978261
NT,Lines,5.97158088824756,0.101488621974888
NT,Ellipses,13.0985431235431,0.131435314140247
NT,Spiral,15.0136146921861,0.573292726668318
NT,Blobs,14.0674232403399,0.174225211403687
NT,Squiggles,9.19399350649351,0.163740556183053
NT,Letters,13.890638427247,0.564705261942621
